uhn	draft	vote	urban	gender	age	party
101	"CRC draft"	"Vote for"	"Rural"	"Male"	45	"chadema"
105	"CRC draft"	"Vote for"	"Rural"	"Female"	45	"ccm"
108	"Don't Know"	"Vote for"	"Rural"	"Male"	46	"ccm"
202	"CRC draft"	"Vote against"	"Rural"	"Male"	22	"chadema"
203	"Final draft"	"Vote for"	"Rural"	"Male"	22	"chadema"
205	"Final draft"	"Vote for"	"Rural"	"Male"	32	"cuf"
209	"Final draft"	"Vote for"	"Rural"	"Male"	21	
301	"Final draft"	"Vote for"	"Rural"	"Male"	31	
302	"Final draft"	"Vote for"	"Rural"	"Female"	47	
303	"Final draft"	"Vote for"	"Rural"	"Female"	35	"ccm"
304	"Final draft"	"Vote for"	"Rural"	"Male"	68	
307	"Final draft"	"Vote for"	"Rural"	"Female"	18	"chadema"
308	"CRC draft"	"Vote for"	"Rural"	"Male"	27	"chadema"
310	"Don't Know"	"Not sure"	"Rural"	"Female"	35	
401	"Don't Know"	"Vote for"	"Rural"	"Female"	32	"ccm"
402	"Final draft"	"Vote for"	"Rural"	"Female"	38	
403	"Final draft"	"Vote for"	"Rural"	"Female"	60	"ccm"
404	"CRC draft"	"Vote for"	"Rural"	"Male"	66	"ccm"
405	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	42	"chadema"
406	"Final draft"	"Vote for"	"Rural"	"Female"	40	"ccm"
408	"CRC draft"	"Vote for"	"Rural"	"Male"	55	"ccm"
409	"CRC draft"	"Not sure"	"Rural"	"Female"	23	"ccm"
410	"CRC draft"	"Vote against"	"Rural"	"Male"	37	"chadema"
501	"Final draft"	"I am not going to vote"	"Rural"	"Male"	23	"chadema"
502	"CRC draft"	"Vote for"	"Rural"	"Male"	39	"ccm"
503	"Don't Know"	"Vote for"	"Rural"	"Male"	51	"cuf"
504	"Final draft"	"Vote for"	"Rural"	"Male"	58	"ccm"
506	"CRC draft"	"Vote for"	"Rural"	"Male"	30	"chadema"
507	"CRC draft"	"Vote for"	"Rural"	"Female"	38	"ccm"
508	"Final draft"	"Vote against"	"Rural"	"Male"	32	"cuf"
510	"Don't Know"	"Vote for"	"Rural"	"Male"	46	"ccm"
602	"None"	"Not sure"	"Rural"	"Male"	30	"chadema"
604	"Final draft"	"Vote for"	"Rural"	"Female"	55	"ccm"
605	"CRC draft"	"Vote against"	"Rural"	"Male"	31	
606	"CRC draft"	"Vote for"	"Rural"	"Male"	28	
609	"CRC draft"	"Vote for"	"Rural"	"Male"	63	"ccm"
610	"Final draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
702	"CRC draft"	"Vote against"	"Urban"	"Male"	47	"chadema"
707	"CRC draft"	"Vote for"	"Urban"	"Female"	47	"cuf"
708	"Final draft"	"Vote for"	"Urban"	"Male"	40	"ccm"
709	"Don't Know"	"Vote for"	"Urban"	"Male"	27	"ccm"
710	"CRC draft"	"Vote against"	"Urban"	"Female"	37	"ccm"
711	"Don't Know"	"Vote for"	"Urban"	"Female"	32	"ccm"
801	"CRC draft"	"Vote for"	"Urban"	"Female"	29	"ccm"
802	"Don't Know"	"Not sure"	"Urban"	"Male"	25	
803	"CRC draft"	"Vote against"	"Urban"	"Male"	44	"ccm"
805	"Final draft"	"Vote for"	"Urban"	"Male"	73	" none"
806	"Don't Know"	"Vote for"	"Urban"	"Female"	52	"ccm"
808	"Don't Know"	"Vote against"	"Urban"	"Male"	37	"ccm"
809	"CRC draft"	"Vote for"	"Urban"	"Female"	54	"ccm"
901	"Final draft"	"Vote for"	"Urban"	"Female"	42	"ccm"
902	"None"	"Vote for"	"Urban"	"Female"	19	"chadema"
904	"CRC draft"	"I am not going to vote"	"Urban"	"Male"	54	" none"
905	"Don't Know"	"Don't Know"	"Urban"	"Female"	35	"ccm"
906	"Final draft"	"Vote for"	"Urban"	"Female"	19	"chadema"
907	"CRC draft"	"Not sure"	"Urban"	"Male"	52	"chadema"
908	"Don't Know"	"Vote against"	"Urban"	"Female"	56	" none"
909	"Final draft"	"Vote for"	"Urban"	"Female"	30	"ccm"
1001	"Final draft"	"Vote against"	"Rural"	"Male"	33	"chadema"
1002	"CRC draft"	"Vote against"	"Rural"	"Male"	40	"chadema"
